,Repetition\File,0,1,2,3,4,5,6,7,8,9
,7,377389,385459,381877,384910,381391,383616,385771,396500,386072,391560
,8,376404,385671,381255,385044,381999,384394,386536,396661,387634,391463
,9,378083,384808,382117,385411,381694,384309,386366,396073,386961,391592
,Min,376404,383416,380740,384506,380401,383294,384370,395732,385460,390560
,Max,379056,385772,382506,386630,382288,385017,386999,397760,387826,392532
,Mean,377880.95,384971.4,381825.45,385476.9,381566.7,384291,385976.2,396695.25,386990.05,391601.85
,Std. Dev.,623.240299605723,644.469377819744,433.754050489202,588.116520857273,528.418305193109,492.670381962583,723.897753757212,513.247849740413,622.802365796811,535.8070425462
,ARPD,2.88998194773829,2.92472301835137,2.8023623043641,3.11776727961436,2.99836149209494,3.09119881534896,3.06908457793812,2.91583215723714,2.90564346931232,3.08051613718383
200x10,1,1089378,1085996,1092077,1072385,1079399,1056453,1107299,1090555,1071221,1080705
,10,1089534,1083762,1092559,1072792,1077045,1056838,1108052,1092462,1073234,1081310
,11,1087148,1082584,1091491,1071225,1081474,1058527,1106096,1089095,1073652,1078882
,12,1090056,1082892,1089206,1072749,1080359,1057310,1107765,1092819,1071921,1079707
,13,1089866,1082783,1090267,1071729,1080442,1059357,1106814,1091007,1071659,1079879
,14,1090684,1081197,1092429,1074509,1076847,1055696,1105728,1091751,1073759,1080559
,15,1090703,1084194,1091067,1073270,1079548,1056307,1106530,1090793,1073196,1080990
,16,1089853,1084126,1090625,1073250,1080751,1058813,1105481,1092976,1071689,1079439
,17,1090395,1083727,1091082,1071376,1078321,1053424,1106927,1091596,1073872,1078758
,18,1091129,1083806,1092350,1071002,1074569,1056788,1106866,1091989,1073666,1079840
,19,1090872,1082320,1090751,1071938,1078833,1055436,1105785,1092760,1072817,1080842
,2,1089431,1085338,1091904,1073243,1079102,1058240,1104322,1091532,1072464,1081262
,20,1091049,1086251,1091662,1073440,1081144,1059808,1105675,1091772,1072883,1079082
,3,1090051,1084010,1090392,1073984,1081360,1058160,1106915,1093118,1072904,1079900
,4,1090814,1083165,1088947,1073509,1078990,1057057,1107470,1091350,1074557,1080246
,5,1089910,1084777,1089088,1073503,1081369,1057827,1105993,1090563,1072707,1079834
,6,1090776,1084973,1090832,1073484,1081893,1055633,1107400,1091673,1069824,1078911
,7,1090124,1084007,1091839,1071824,1079929,1056606,1106338,1092888,1072836,1080696
,8,1090541,1083118,1091859,1071537,1080523,1056645,1105066,1090694,1073660,1080337
,9,1088262,1085317,1091209,1071200,1079131,1057741,1107359,1091497,1069164,1076497
,Min,1087148,1081197,1088947,1071002,1074569,1053424,1104322,1089095,1069164,1076497
,Max,1091129,1086251,1092559,1074509,1081893,1059808,1108052,1093118,1074557,1081310
,Mean,1090028.8,1083917.15,1091081.8,1072597.45,1079551.45,1057133.3,1106494.05,1091644.5,1072584.25,1079883.8
,Std. Dev.,971.854093445806,1278.97085580556,1089.20915781758,1049.05789690209,1827.11724265879,1501.82478829484,967.801440868616,1024.55589865741,1353.46681078434,1118.41700160257
,ARPD,4.0439378349124,4.6209661384384,4.15349413070809,3.92429475968782,4.09800174147319,5.01498038046988,5.0412525275539,4.33918026926746,4.62756488106561,4.72351955437287
200x20,1,1288752,1307412,1328546,1306060,1291087,1286889,1309117,1307272,1300486,1313446
,10,1289688,1308407,1328811,1303294,1288675,1289284,1305856,1307510,1298241,1313714
,11,1289212,1308561,1328801,1306965,1288820,1290829,1307935,1301992,1295693,1313067
,12,1287691,1308587,1331695,1306279,1285276,1290584,1307436,1307504,1295962,1312340
,13,1287546,1307950,1327689,1304521,1291495,1289237,1305250,1306516,1298543,1311034
,14,1289068,1305559,1330569,1305179,1289700,1286920,1310782,1306885,1297467,1313206
,15,1291885,1308830,1329648,1303862,1291898,1290265,1309781,1307996,1300597,1313904
,16,1286845,1309085,1327631,1306594,1289292,1290187,1307037,1305182,1296780,1313599
,17,1290113,1307990,1330304,1307002,1289900,1290560,1305345,1307323,1299114,1309434
